Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
3091	6422.293081761006	2537.4867924528303	['Aldoc', 'Crym']	[2.068800700878906, 0.9587355745280609]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.21429947368510324, 0.18277813269696522, 0.05039027726696169, 0.09319488115600985, 0.28024673109849596, 0.0013890240057898805, 0.010157909108008652, 0.0013731294100333652, 0.0016540420136852815, 0.0010631054251263143, 0.162587803338937]
3092	6418.600997506234	1479.6009975062343	['3110035E14Rik', 'Bcl11b', 'Cck', 'Col25a1', 'Cplx2', 'Enc1', 'Fam19a1', 'Lamp5', 'Neurod6', 'Nrn1', 'Pde1a', 'Prkca', 'Reln', 'Rgs4', 'Slc6a1', 'Wfs1']	[0.009050806718324245, 0.9789187697919093, 1.4988838413839796, 0.5824776671886988, 1.6319795659570935, 0.004471855708726555, 0.009518261610198694, 0.0070822060150391945, 4.362884376628407, 0.016305984444876114, 0.9786365558398056, 0.06560940705409916, 0.8404837871280713, 3.001080303312239, 0.1957028516709653, 1.970965302264314]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.03098944887729453, 0.6048855739905407, 0.36147117902235637, 0.0010674279717016106, 0.0015861186842583577]
3093	6430.7425	1747.9625	['Cadps2', 'Cplx2', 'Cxcl14', 'Wfs1']	[0.19787315624189686, 0.002271194146382488, 0.9136717390374812, 0.6656264170889586]	['Astro.1', 'Astro.2', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.003714069976708691, 0.004699344968624221, 0.0015264907483454073, 0.004965590703780435, 0.001707650275194411, 0.007758949206709544, 0.0011776669221991328, 0.005138921830298205, 0.007044571765692415, 0.004287336295510467, 0.9568768921853453]
3094	6423.757668711656	1570.601226993865	['3110035E14Rik', '6330403K07Rik', 'Aldoc', 'Cck', 'Cplx2', 'Crym', 'Enc1', 'Fam19a1', 'Neurod6', 'Nos1', 'Nrn1', 'Pde1a', 'Prkca', 'Scg2', 'Wfs1']	[0.9463746047773104, 0.007333257357570356, 0.003766578402248984, 1.6938540792379044, 0.04091585524124786, 0.6551210623298199, 0.149162126926163, 1.5019109169487674, 4.423275437348144, 0.4584347597714047, 0.080584456612206, 0.01918985188207525, 0.5957244458684577, 0.01850922768954979, 1.2373414258145483]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3']	[0.08870359623782545, 0.5744803435770345, 0.33633207513979824]
3095	6423.604719764012	785.3952802359883	['3110035E14Rik', '6330403K07Rik', 'Cryab', 'Enpp2', 'Npy', 'Plp1']	[1.9967392401868795, 0.08192396667484218, 0.7814018101237251, 0.0011165990138260328, 0.15561489954801486, 3.4779087462106983]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06513151363240713, 0.004176156624118235, 0.00653999024477162, 0.027434442456342956, 0.8957468447995754]
3096	6425.377358490566	758.6132075471698	['6330403K07Rik', 'Aldoc', 'Npy']	[0.014416036777953093, 0.9759356897163362, 0.5913491338603707]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.04729040340131727, 0.05026258806851345, 0.017838625804300918, 0.023083762890827236, 0.06771813976289613, 0.0032527839622487715, 0.007402341077497357, 0.016398243026839694, 0.008586719457118332, 0.008206922342262182, 0.001238174035769559, 0.006850070765260951, 0.7386376295907819]
3097	6436.650611071172	2159.9899352983466	['Aldoc', 'Cryab', 'Id2', 'Prkca', 'Rorb']	[1.998880405959856, 0.9421317943629618, 0.9940222739443959, 0.009683895682811987, 0.14738947922844445]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.2', 'Zero']	[0.16992668878002462, 0.24500505117146384, 0.11717986646228826, 0.1711853744866796, 0.2760182562850459, 0.007950727039755323, 0.010274174472096251]
3098	6428.177966101695	1550.7401129943503	['3110035E14Rik', '6330403K07Rik', 'Arpp21', 'Cplx2', 'Fam19a1', 'Neurod6', 'Nov', 'Pde1a', 'Plp1', 'Prkca', 'Rgs4', 'Vip', 'Wfs1']	[0.8760903135612627, 0.0017819727683821042, 1.0880376923337935, 0.001582296978142622, 0.0024377808323292945, 0.35233905864902026, 0.7045031612609838, 0.05992424230614956, 2.906155800727693, 0.6417550494323567, 0.001631216465589715, 0.8823410379002211, 0.2967647168285152]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.009573061898850618, 0.02012215328890813, 0.001965014110395538, 0.005999687720293355, 0.03504619402651641, 0.9271046318109343]
3099	6446.98840445269	877.8130797773655	['3110035E14Rik', 'Cplx2', 'Cpne5', 'Crhbp', 'Cryab', 'Cxcl14', 'Gad1', 'Nov', 'Npy', 'Nrsn1', 'Pcp4', 'Plp1', 'Satb1', 'Sst']	[0.03841328293305018, 0.1062459978724433, 0.78726224060556, 1.8266995845538387, 2.433560637974258, 0.016363644002728193, 0.9721305969556016, 0.00137830724142877, 7.937212711353022, 0.9905610362230818, 0.9952298995159921, 4.232701450754785, 0.9953126151217554, 7.039336678194947]	['Pvalb.Tac1.Sst', 'Sst.Cryab', 'Sst.Npy.Cort', 'Sst.Npy.Mgat4c', 'Sst.Npy.Serpine2', 'Sst.Npy.Zbtb20', 'Sst.Pnoc.Pvalb']	[0.2736804309798637, 0.0016963821578568825, 0.14345537968839786, 0.016506915430640805, 0.07646419351728179, 0.47936696569975906, 0.008120488165324574]
3100	6438.6303763440865	2323.7432795698924	['Cplx2', 'Cxcl14', 'Plp1', 'Prkca', 'Scg2']	[0.028431999302650026, 0.0861286142946735, 6.225386819589218, 1.743931886945085, 0.1519527951386322]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.005401430701109714, 0.031620396990452555, 0.01626305556460834, 0.10546744370421163, 0.31384549036455095, 0.5274021505341051]
3101	6438.176470588235	1559.3882352941177	['3110035E14Rik', '6330403K07Rik', 'Arpp21', 'Bcl11b', 'Cck', 'Cplx2', 'Crym', 'Enc1', 'Fam19a1', 'Neurod6', 'Nos1', 'Nov', 'Pde1a', 'Plp1', 'Prkca', 'Rgs4', 'Scg2', 'Serpini1', 'Vip', 'Wfs1', 'Zcchc12']	[3.470698350508664, 0.9857863520916845, 0.07402982377441628, 0.04234549218992546, 0.4037172847499087, 0.9642111970351402, 0.011576554623995166, 1.7384227980950797, 0.3007646441862851, 2.0871215702530828, 0.0018848417764800978, 0.11222752423802554, 0.9609719530581127, 0.05290131852777375, 1.7240833791204198, 0.00592935573547922, 0.2313411126881696, 0.04405012918845291, 0.029813272563971673, 0.9547417378051359, 0.026707460206471495]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.003737253291766327, 0.2599193565161578, 0.7161369349151746, 0.007594251349618196, 0.012612200412261004]
3102	6444.821235752849	1459.878824235153	['3110035E14Rik', 'Adgrl2', 'Cck', 'Cnr1', 'Col25a1', 'Cplx2', 'Cryab', 'Crym', 'Enc1', 'Fam19a1', 'Id2', 'Kctd12', 'Neurod6', 'Nr4a2', 'Nrn1', 'Nrsn1', 'Pde1a', 'Prkca', 'Qrfpr', 'Reln', 'Rgs4', 'Satb1', 'Scg2', 'Wfs1']	[3.942404638671576, 0.9910990189378405, 0.017871159925516147, 0.9238837237900717, 0.004520709845315361, 0.004561814910835655, 0.8691964190103932, 0.9922616203766201, 5.571771818700498, 1.9637973113603888, 0.9170710436817853, 0.2218853218935951, 5.869753740357642, 0.03898893289177927, 0.9775364942464511, 0.12220715414888146, 1.4650712989952075, 3.1785935223465933, 0.003361343579972201, 0.08617179907917243, 1.5536911330319827, 0.02535187457873577, 0.9752476713006031, 3.6386359165691973]	['PC.CA1.2', 'PC.CA1.3', 'PC.Other2']	[0.059584438476063865, 0.9381228844532123, 0.0022617092707056313]
3103	6445.841228070175	2035.2798245614035	['Aldoc', 'Cplx2', 'Cxcl14', 'Id2', 'Satb1']	[2.2372340512092164, 0.5476399102029783, 0.9943790719472041, 0.995234323036701, 0.26536149404497544]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Zero']	[0.20458729691565702, 0.3278707805288043, 0.0910371997144312, 0.21172376523165207, 0.1628174883898615, 0.0013998939603859823]
3104	6438.623529411765	1280.3607843137254	['6330403K07Rik', 'Cplx2', 'Nrsn1', 'Prkca']	[0.05984793276033902, 0.968624016878556, 0.13043419999268524, 0.9850151387538258]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Vip.Gpd1', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.006902821256084019, 0.002564337298424182, 0.0025445226606952546, 0.001868769797619831, 0.013708291979306236, 0.0030221192193616363, 0.004441565864845545, 0.013655146008408007, 0.004955919442562735, 0.013299948330492443, 0.01983037079009393, 0.0010777613952724012, 0.003365352171556363, 0.0018627910078961398, 0.0075000942277758924, 0.894508260503217]
