Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
11	42.63932172318973	4196.321264894592	['3110035E14Rik', 'Cck', 'Cplx2', 'Enpp2', 'Fam19a1', 'Id2', 'Plp1', 'Pvalb', 'Rgs4']	[1.9273307855962303, 0.8717265141502397, 0.12725029267313673, 1.9873513294932355, 1.8318139726901355, 3.925958168729233, 14.766628204756937, 0.9842512422819404, 0.8738593924994024]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.036928112350393054, 0.04203637665687235, 0.004269184568189428, 0.00228444865801608, 0.030115521781613946, 0.8843663366359121]
12	24.94485294117647	4865.358455882353	['6330403K07Rik']	[0.9926466732973214]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0018766944383855509, 0.0014403989064722474, 0.0012147631487332948, 0.0025374367368087673, 0.0044877417791045785, 0.006078625361710201, 0.007530555567424269, 0.008944952351043632, 0.007066399836244059, 0.954245215060224]
13	38.025373134328355	4729.0932835820895	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.9828083397222006, 0.20822393773529768, 0.9646711440951112, 0.9679527940443771, 0.002520215438700722, 4.871515917763066]	['Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0020860259526527636, 0.0014226321661307301, 0.019041991743264132, 0.7776125735888355, 0.0018031024524223518, 0.015237434361210438, 0.0010259069936166016, 0.004441703046092309, 0.060242988081385104, 0.11228224044809425, 0.0011543096380125582, 0.0021114956343690735]
14	33.83404558404558	4635.407407407408	['Pde1a', 'Plp1']	[0.9907452932750698, 16.99760811963779]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.32349876029852426, 0.03741207784043631, 0.0023007433480568174, 0.013378438354301882, 0.1916770782434803, 0.43173289185064767]
15	31.64189189189189	4354.564189189189	['Id2', 'Plp1']	[0.0031882449324633065, 0.9908176306764463]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0020029937146578206, 0.0014199198009713003, 0.0037263216811471937, 0.008758190787896204, 0.022136032763588998, 0.0056343174288718675, 0.015224199179027214, 0.01581099097555333, 0.013090097275204932, 0.9092080353405567]
16	41.564625850340136	4283.206802721088	['Cryab', 'Kctd12', 'Plp1']	[0.9811379689855608, 0.9946263973357936, 5.1988679749076105]	['Eryth.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.00429259117285993, 0.7001268185244406, 0.013579902232929613, 0.0011829869769702692, 0.005911680049260037, 0.08014897014397794, 0.19253257163523793]
17	48.38560606060606	4548.205303030303	['Arpp21', 'Enpp2', 'Id2', 'Plp1']	[0.0027805895922671194, 3.4523974801908692, 1.8820231708919, 15.997574493106852]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.01681663073155023, 0.2869759310202213, 0.048766149767446025, 0.05890918227431227, 0.38294253078012175, 0.20558957520001384]
18	50.74737845567207	5034.464251668255	['Cryab', 'Enpp2', 'Npy', 'Plp1']	[2.9845927966700114, 0.7625153120619164, 0.0012965694899349915, 5.1914088960189595]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.12152069406146443, 0.06835748885788526, 0.012236914680439536, 0.04599561171107027, 0.3848540229404922, 0.36686902303909064]
19	44.2360248447205	4795.282608695652	['Cadps2', 'Id2', 'Prkca', 'Pvalb']	[1.017811358537209, 0.004256657631798541, 0.0022561376564560185, 0.8720292226633384]	['Astro.1', 'Astro.2', 'Astro.5', 'Calb2.Cntnap5a.Igfbp6', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Pvalb.Tac1.Nr4a2', 'Vsmc', 'Zero']	[0.0018521119184609482, 0.0016882293017601829, 0.0022206779135235527, 0.0011080380455910435, 0.005593896342213875, 0.007126988664554186, 0.008397521024795724, 0.00988314151075602, 0.0012353953263576946, 0.008135894440819701, 0.9459952548395856]
20	56.52744310575636	4586.642570281125	['3110035E14Rik', 'Cpne5', 'Cryab', 'Enpp2', 'Npy', 'Pcp4', 'Plp1', 'Prkca']	[0.0022777172815715277, 1.9760007440568659, 0.9989728870984192, 1.9698691108575606, 0.9942226248438049, 0.962942780396128, 7.996128297047657, 2.992215464372998]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06163768354660582, 0.023565928472089406, 0.017072472177161152, 0.054299573103795025, 0.18627878635723136, 0.6571373247013295]
21	55.449438202247194	4419.345906902086	['Cryab', 'Cux2', 'Plp1', 'Rgs4']	[1.2890470184084042, 0.9943608783897284, 17.981303834368102, 0.014303937582250646]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06551728096513172, 0.06424176942456371, 0.006996080264958799, 0.032171713407290456, 0.32774745074106876, 0.5033257050822919]
22	48.05494505494506	4926.945054945055	['3110035E14Rik', 'Enpp2', 'Pde1a', 'Plp1']	[0.944225894723286, 0.7349505304653569, 0.013782883853966853, 6.336527968472721]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.26124646839322563, 0.05711411153367796, 0.0047602429939518345, 0.013062539615881361, 0.11424557918234725, 0.5492448916475691]
23	59.08518877057115	5101.456921587609	['Cryab', 'Enpp2', 'Npy', 'Npy2r', 'Plp1']	[3.995934342626656, 0.026504305613745106, 0.0037688300792667103, 1.9870360851671065, 13.604412375467895]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.008055931780222961, 0.06623382145763478, 0.015746660805270547, 0.06750627679312882, 0.467275797328968, 0.37518151176874676]
24	63.94620811287478	4812.543209876543	['Aldoc', 'Cryab', 'Id2', 'Plp1', 'Prkca', 'Pvalb', 'Snca']	[2.9973619695615925, 0.0011439958938360864, 0.9772163322075961, 0.9894431416187311, 1.9908311937417653, 0.043564006773566345, 0.4048829165520087]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.2', 'Microglia.1', 'Zero']	[0.0873726811282605, 0.1613327732239946, 0.11285502081456163, 0.1873202302983985, 0.43654919033982315, 0.002327233139790071, 0.0010323614977151882, 0.008218328340659145]
25	72.61700767263427	4948.23273657289	['3110035E14Rik', 'Enpp2', 'Pvalb', 'Sulf2']	[0.05969142872718419, 0.004137878155890458, 0.3452851948489719, 0.9821944539309923]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.002992894446872944, 0.004820486437371743, 0.007160782351980454, 0.008100633303249657, 0.005631065237825936, 0.9686742888660725]
